,Business_Name,BusinessContact_FirstName,BusinessContact_LastName,Business_City,Business_State,PrimaryNAICSCode,Business_ClientID
433,"BrickLogix, Inc.",Sanjeev,Gupta,Somerville,MA,541511,20080055
438,"Bright Cleaning Services, Inc.",Yureidy,Medina,Revere,MA,561720,20080346
439,"Brightwood Development, Corp.",Heriberto,Flores,Springfield,MA,624190,19910025
440,Britt and Jessica Walker d/b/a: Paint Works,Britt and Jessica,Walker,Woburn,MA,,20190043
441,"Brockton Area Multi Services, Inc.",Anthony,Simonelli,Brockton,MA,,20000130
442,"Broco Oil, Inc.",Robert,Brown,North Reading,MA,"424720, 484220, 488210, 424710, 238220",20150093
443,"Broco Oil, Inc.",Robert,Brown,North Reading,MA,"424720, 484220, 488210, 424710, 238220",20150093
446,"Brooksco, LLC",Connie,Brooks,Foxboro,MA,,20190062
447,"Brookview House, Inc.",Deborah,Hughes,Dorchester,MA,624229,19950026
448,"Brother's Roofing & Construction, LLC",Iris,Sosa,Lynn,MA,238160,20180108
449,"Brown Gardner & Associates, LLC",Keyanna,Silverman,Roslindale,MA,,20190044
451,"Bryant Associates, Inc.",Jeffrey C.,Bryant,Boston,MA,"237110, 236220, 237310, 541330, 541370, 541990, 237990",20000106
452,"Bryant Associates, Inc.",Jeffrey C.,Bryant,Boston,MA,"237110, 236220, 237310, 541330, 541370, 541990, 237990",20000106
453,Bryant Williams Painting Company,Bryant,Williams,Hyde Park,MA,238320,19840008
454,"Bryarly Consulting, LLC",Bryarly,Lehmann,South Hadley,MA,541611,20050258
455,"Bryarly Consulting, LLC",Bryarly,Lehmann,South Hadley,MA,541611,20050258
456,"BSST Software Group, Inc. d/b/a: Boston Group, The",Subu M.,Kota,Northborough,MA,541512,19890145
458,Bucky Sparkle d/b/a: The Zengineer,Bucky,Sparkle,Easthampton,MA,541330,20140109
459,Bucky Sparkle d/b/a: The Zengineer,Bucky,Sparkle,Easthampton,MA,541330,20140109
460,"Building Enclosure Associates, LLC",Michael,Velji,Boston,MA,541330,20160247
461,"Bullseye Underground Utility Locating, LLC",O'Dell,Young,Randolph,MA,561990,20130285
462,"Bullseye Underground Utility Locating, LLC",O'Dell,Young,Randolph,MA,561990,20130285
463,"Bullseye Underground Utility Locating, LLC",O'Dell,Young,Randolph,MA,561990,20130285
465,"Bursal Consulting & Management, LLC",Zeynep,Bursal,Lexington,MA,"236210, 236220",20170239
466,"Bursal Consulting & Management, LLC",Zeynep,Bursal,Lexington,MA,"236210, 236220",20170239
469,"C & A Construction Company, Inc.",Sofia,Fernandes,Chicopee,MA,"237110, 238990",19930216
470,"C & A Construction Company, Inc.",Sofia,Fernandes,Chicopee,MA,"237110, 238990",19930216
471,"C & A Construction Company, Inc.",Sofia,Fernandes,Chicopee,MA,"237110, 238990",19930216
472,"C & C Consulting Engineers, LLC",Po-Shang,Chen,Boston,MA,541330,20000206
473,"C & C Consulting Engineers, LLC",Po-Shang,Chen,Boston,MA,541330,20000206
474,"C & C Contractors, LLC",Reginald L.,Cole,Springfield,MA,"238910, 484220, 238990",20080133
475,"C & S Group, Inc. d/b/a: Carol's Lighting & Supply Company",Carol,Ford,Canton,MA,"423610, 541690",20030763
476,"C & S Group, Inc. d/b/a: Carol's Lighting & Supply Company",Carol,Ford,Canton,MA,"423610, 541690",20030763
477,C N T Construction,Carol,Thomas,Franklin,MA,"238350, 561720, 561730, 236118",20150302
478,C N T Construction,Carol,Thomas,Franklin,MA,"238350, 561720, 561730, 236118",20150302
482,"C&D Electronics, Inc.",Mark,Cutting,Holyoke,MA,423690,20140128
484,"C.S. Allison Co., Inc.",Chad,Smith,Canton,MA,562910,20070166
485,"C.V.D. Paving, Corp.",Adam,DeCastro,Saugus,MA,237310,20100325
486,"C.V.D. Paving, Corp.",Adam,DeCastro,Saugus,MA,237310,20100325
487,"C4CABLE, LLC",Carole,Derringer,Taunton,MA,"541618, 423430, 423610, 517919, 541690, 425120",20150031
488,"C4CABLE, LLC",Carole,Derringer,Taunton,MA,"541618, 423430, 423610, 517919, 541690, 425120",20150031
489,"CAAN Fence, Inc.",Carlene,Lewis,Randolph,MA,238990,20120172
491,"CAM Office Services, Inc.",Kemo,Ceesay,Woburn,MA,453210,19900029
492,"Cambridge Economic Opportunity Committee, Inc.",Tina,Alu,Cambridge,MA,624190,19910126
493,Cambridge Economic Research,Margaret,Collins,Cambridge,MA,541690,20050109
494,Cambridge Economic Research,Margaret,Collins,Cambridge,MA,541690,20050109
495,"Caminiti Consulting Company, Inc.",Debra F.,Caminiti,West Newbury,MA,"236220, 541330, 541611, 541618",20090379
496,"Caminiti Consulting Company, Inc.",Debra F.,Caminiti,West Newbury,MA,"236220, 541330, 541611, 541618",20090379
497,"Canaan Tech Solutions, LLC",Kenneth,Canaan,Walpole,MA,,20190148
499,"Cape Water Resources, LLC",Margaret T.,Neylon,North Truro,MA,561990,20120216
500,"Cape Water Resources, LLC",Margaret T.,Neylon,North Truro,MA,561990,20120216
505,Caracas Construction Corporation,Matias,Goncalves,Ludlow,MA,"238910, 238110, 237110",19860060
506,Caracas Construction Corporation,Matias,Goncalves,Ludlow,MA,"238910, 238110, 237110",19860060
507,"Carbonado Technologies, Inc.",Muhammad,Khan,Burlington,MA,,20190126
508,"Care & Beyond Home Care, LLC",Lucy,Wariire,Dracut,MA,"621610, 621399",20160314
512,"Caribbean Foundation of Boston, Inc., The",Beulah F.,Providence,Dorchester,MA,"624120, 624190",19870059
513,"Caribbean Tastes Give a Lasting Impression, Inc.",Sandra,Arjune,Malden,MA,"722320, 453220",20050083
514,"Carl-Louis & Co., Inc.",Carlos,Leitao,Dorchester,MA,238220,19820005
515,"Carl-Louis & Co., Inc.",Carlos,Leitao,Dorchester,MA,238220,19820005
516,Carolyn White Wallis,Carolyn,Wallis,Vineyard Haven,MA,"541611, 531390",
517,Carrasco Multi-Services,Martha A.,Carrasco,Methuen,MA,541930,20140295
518,Carrasco Multi-Services,Martha A.,Carrasco,Methuen,MA,541930,20140295
519,"Carroll Communications Group, LLC",Marc A.,Carroll,Milton,MA,"541810, 541613",20090434
520,"Carthage Financial Group, LLC",Ralph,Mitchell,Quincy,MA,"541611, 523120",20080170
521,"Carthage Financial Group, LLC",Ralph,Mitchell,Quincy,MA,"541611, 523120",20080170
523,"Casa Esperanza, Inc.",Emily,Stewart,Roxbury,MA,623220,20010106
524,"CathWear, LLC",Edwin,Alvarez,Lawrence,MA,339112,20180050
525,"CathWear, LLC",Edwin,Alvarez,Lawrence,MA,339112,20180050
526,"CatSteel, LLC",John,Whitson,Wakefield,MA,,20190030
527,"Causemedia, Inc. d/b/a/: More Advertising",Donna,Latson Gittens,Watertown,MA,541613,19970219
528,"Cavalier Coach, Corp.",Joan,Libby,Dedham,MA,541614,19940031
529,"Cavalier Coach, Corp.",Joan,Libby,Dedham,MA,541614,19940031
530,"CB Elan Solutions, Inc.",Aaron,Stephenson,Woburn,MA,"238310, 423330",20170016
531,"CC-Consult Group, LLC",Richard,Cox,North Andover,MA,"561730, 238910",20170069
532,"CCD Janitorial Services, LLC",Cassandra,Morgan,Concord,MA,561720,20160126
533,"CCD Janitorial Services, LLC",Cassandra,Morgan,Concord,MA,561720,20160126
534,CCK2 Cleaning Services,Yohanny,Cespedes,Lawrence,MA,561720,20140231
535,"CDP Fastener Group, Inc.",Mark P.,Cutting,Brockton,MA,"423710, 423610",20140226
536,"CDS Contracting Services, LLC",Mike,Ye,Hanson,MA,238210,20160240
537,"CDW Consultants, Inc.",Kathleen,Campbell,Natick,MA,"541330, 541620",19910063
538,"CDW Consultants, Inc.",Kathleen,Campbell,Natick,MA,"541330, 541620",19910063
539,"CEC Business Solutions, Inc.",Millie,Kwan,Natick,MA,"541511, 541613",20110191
540,"CEC Business Solutions, Inc.",Millie,Kwan,Natick,MA,"541511, 541613",20110191
541,"CeMAT Contracting Co., Inc.",Eric S.,Britto,New Bedford,MA,"236210, 236116, 238910, 236115",20020533
542,"CeMAT Contracting Co., Inc.",Eric S.,Britto,New Bedford,MA,"236210, 236116, 238910, 236115",20020533
543,"Centaurus Four Holdings, LLC.",Benaree,Wiley-Williams,Brookline,MA,,
544,"Central Boston Elder Services, Inc.",Catherine,Hardaway,Boston,MA,624120,19850027
545,"Central Electrical Specialty, Corp.",Kristin,Stadelmann,Brockton,MA,423610,19890158
546,"Central Electrical Specialty, Corp.",Kristin,Stadelmann,Brockton,MA,423610,19890158
547,"Centro Communal Hispano, Inc. d/b/a: Centro Las Americas",Juan A,Gomez,Worcester,MA,624190,19850018
548,"Cero Cooperative, Inc.",Maya,Gaul,Boston,MA,484220,20160279
549,"Certified Connections, Inc.",Jarrod,Gomes,Worcester,MA,423610,20090211
550,"Certified Connections, Inc.",Jarrod,Gomes,Worcester,MA,423610,20090211
551,"CGKV Architects, Inc.",Ernesto,Vazquez,Cambridge,MA,541310,20090057
554,"Chan Insurance Agency, Inc.",Frank,Chan,Boston,MA,524210,19950006
555,"Chan Mock Architects, LLC",Christopher,Chan,Cambridge,MA,"541310, 541410",20160153
557,"Chapman Construction Group, Inc.",Vicki,Chapman,Sandwich,MA,"238210, 238910, 423610, 236118, 238130, 238350, 238160, 238170, 238390",20020520
558,"Chapman Construction Group, Inc.",Vicki,Chapman,Sandwich,MA,"238210, 238910, 423610, 236118, 238130, 238350, 238160, 238170, 238390",20020520
559,"Chapman Construction Group, Inc.",Vicki,Chapman,Sandwich,MA,"238210, 238910, 423610, 236118, 238130, 238350, 238160, 238170, 238390",20020520
560,"Chaps Security Services, LLC",Edmond,James,Dorchester,MA,"238320, 561720, 561612",20040478
561,"Charter Contracting Company, LLC",Robert L.,Delhome,Boston,MA,"541620, 237990, 541330",19970114
563,"Chase Landscape, Inc.",Nicole,Merriman,South Dennis,MA,"561730, 238990, 238140",19990143
564,"Chase Landscape, Inc.",Nicole,Merriman,South Dennis,MA,"561730, 238990, 238140",19990143
565,"CHB Excavation, Inc.",Calvin H.,"Brandford, Jr.",Westford,MA,238910,20040013
566,"CHB Excavation, Inc.",Calvin H.,"Brandford, Jr.",Westford,MA,238910,20040013
567,"CHC Financial Solutions, LLC",Elisa I.,Montalvo,Worcester,MA,561110,20120151
572,"Cheryl Harris and Associates, Inc.",Cheryl,Harris,Attleboro,MA,"541611, 541612, 611430",20070354
573,"Chestnut Design, Inc.",Mary,Dawley,Needham,MA,453920,20180009
574,"Chestnut Design, Inc.",Mary,Dawley,Needham,MA,453920,20180009
575,"Children's Services of Roxbury, Inc.",Sandra,McCroom,Roxbury,MA,"624110, 624190",19860059
576,"Chocolate Therapy, Inc.",Pamela,Griffin,Framingham,MA,,20190025
581,"City Enterprise, Inc.",Wonderlyn,Murphy,Springfield,MA,"236118, 236116, 236220, 236115",20090080
582,"City Enterprise, Inc.",Wonderlyn,Murphy,Springfield,MA,"236118, 236116, 236220, 236115",20090080
583,"City Fresh Foods, Inc.",Glynn,Lloyd,Roxbury,MA,722310,20020058
584,"City Fresh Foods, Inc.",Glynn,Lloyd,Roxbury,MA,722310,20020058
585,"City Fresh Foods, Inc.",Glynn,Lloyd,Roxbury,MA,722310,20020058
586,"City Point Partners, LLC",Colleen,Moore,Boston,MA,"237310, 541990, 237110",20090246
587,"City Point Partners, LLC",Colleen,Moore,Boston,MA,"237310, 541990, 237110",20090246
589,"Citywide Mass Painting, Inc.",Elvia,Thermora,Randolph,MA,"238990, 238320, 561720, 238350, 238330",20110309
590,"Citywide Mass Painting, Inc.",Elvia,Thermora,Randolph,MA,"238990, 238320, 561720, 238350, 238330",20110309
591,"CJL Rentals & Property Management Co., Inc.",Carleen,LeBlanc-Hart,Waltham,MA,"531311, 531312",20080369
592,"CJL Rentals & Property Management Co., Inc.",Carleen,LeBlanc-Hart,Waltham,MA,"531311, 531312",20080369
593,"cKm Construction, LLC",Katherine C.,McCue,Westwood,MA,238990,20170033
594,"cKm Construction, LLC",Katherine C.,McCue,Westwood,MA,238990,20170033
595,"CKS Interiors, Inc.",Maria,Vetrano,Medford,MA,442110,20160117
596,"CKW Management, Inc.",Coleen,Walker,Boston,MA,541618,20160024
597,"Clark Lau, LLC",Vincent W.,Lau,Cambridge,MA,541110,20170022
598,"Clark Lau, LLC",Vincent W.,Lau,Cambridge,MA,541110,20170022
600,"Clarke Construction, Inc.",Trevor,Clarke,South Attleboro,MA,"236118, 238190, 236220",20030223
602,"Classic Landscaping and Masonry, Inc.",Jonathan,Arce,Marston Mills,MA,"238140, 561730",20170102
603,Classic Shoe Shine Valet,Dana,Gonsal,Mattapan,MA,812990,
604,"Classic Site Solutions, Inc.",Cheryl,Sady,Framingham,MA,237310,19840022
605,"Classic Site Solutions, Inc.",Cheryl,Sady,Framingham,MA,237310,19840022
606,"Clay Communications & Marketing, LLC",Helene,Kelly,Plymouth,MA,"541810, 541611, 541613",20130153
607,"Clay Communications & Marketing, LLC",Helene,Kelly,Plymouth,MA,"541810, 541611, 541613",20130153
608,"Clayton, LLC",Anthony,Clayton,Woburn,MA,"541890, 423990",20120012
609,"Clean Tech Systems, Inc.",Dighero H.,Krische,Danvers,MA,"561720, 561740, 562910",20120262
610,"Clean Tech Systems, Inc.",Dighero H.,Krische,Danvers,MA,"561720, 561740, 562910",20120262
611,"CleanX, Inc.",John,Barros,Taunton,MA,561720,20090136
612,"CleanX, Inc.",John,Barros,Taunton,MA,561720,20090136
613,"Cleary Consultants, Inc.",Mary,Cleary,Boston,MA,"561311, 561320, 561312",19920113
614,"Cleary Consultants, Inc.",Mary,Cleary,Boston,MA,"561311, 561320, 561312",19920113
617,"Climatech Service, LLC",Harry,Basey,Quincy,MA,238220,20150194
618,"Climatech Service, LLC",Harry,Basey,Quincy,MA,238220,20150194
619,"Clothes Line, Inc., The d/b/a: HI VIZ & Work Wear",Rosemarie,Walsh,East Freetown,MA,448190,20150157
620,"Clothes Line, Inc., The d/b/a: HI VIZ & Work Wear",Rosemarie,Walsh,East Freetown,MA,448190,20150157
621,"Cloud Solutions, Inc. d/b/a: CloudSolved IT",Martin I.,Montoya,Milford,MA,518210,20170066
622,"CMJ Paving & Landscaping, Inc.",Clinton,Mitchell,Springfield,MA,"561730, 238990, 485113, 485999, 484220",20110222
623,"CMJ Paving & Landscaping, Inc.",Clinton,Mitchell,Springfield,MA,"561730, 238990, 485113, 485999, 484220",20110222
625,"Coast and Harbor Associates, Inc.",Marcella,Lancome,Lynnfield,MA,"236220, 541611",19890140
626,"Coast and Harbor Associates, Inc.",Marcella,Lancome,Lynnfield,MA,"236220, 541611",19890140
627,Coastal Construction & Management Co.,Lucner,Charles,Mattapan,MA,"236118, 238310, 238130, 238350, 541614",19890152
628,"Coastal Marine Construction, LLC",Seana,Kelley,Canton,MA,"237990, 237110, 238910, 562910",20160094
629,"Coastal Marine Construction, LLC",Seana,Kelley,Canton,MA,"237990, 237110, 238910, 562910",20160094
633,"Codman Square Health Center, Inc.",Sandra,Cotterell,Dorchester,MA,,19940044
634,Codman Square Neighborhood Development Corp,Gail,Latimore,Dorchester,MA,624229,20180079
635,"Cofield Properties, Inc.",James E.,Cofield,Brookline Village,MA,"541614, 531390",20090146
636,"Colette Phillips Communications, Inc.",Colette,Phillips,Boston,MA,"541613, 541820, 611430",19870001
637,"Colette Phillips Communications, Inc.",Colette,Phillips,Boston,MA,"541613, 541820, 611430",19870001
638,"Colette Phillips Communications, Inc.",Colette,Phillips,Boston,MA,"541613, 541820, 611430",19870001
639,"Collaborative, Inc., The",Joseph H.,Brevard,Boston,MA,"541611, 541613, 541620",19910090
640,"Collaborative, Inc., The",Joseph H.,Brevard,Boston,MA,"541611, 541613, 541620",19910090
641,Colleen Donohue CPA,Colleen,Donohue,Cambridge,MA,541211,19880107
642,Colleen Donohue CPA,Colleen,Donohue,Cambridge,MA,541211,19880107
643,"College Application Education Project, Inc.",Arthur V.,Akers,Lynn,MA,"611710, 611691",20060121
644,"Collins-Crochiere Construction Services, Inc.",Ann,Collins-Crochiere,Wilbraham,MA,"236220, 238320, 238140, 238310, 238130, 238350",19980031
645,"Collins-Crochiere Construction Services, Inc.",Ann,Collins-Crochiere,Wilbraham,MA,"236220, 238320, 238140, 238310, 238130, 238350",19980031
646,"Columbia Auto Body, Inc.",Geizian,Carvalho,Whitman,MA,811111,20160169
647,"Columbia Auto Body, Inc.",Geizian,Carvalho,Whitman,MA,811111,20160169
648,"Columbia Auto Body, Inc.",Geizian,Carvalho,Whitman,MA,811111,20160169
649,"Comeau Excavating, Inc.",Susan,Comeau,Paxton,MA,"562991, 238910, 237110",20020072
650,Comfort Essentials,Elaine,Peart,Dorchester,MA,425120,20120252
654,"Common Sense Environmental, Inc.",Cynthia S.,Gilchrest,New Bedford,MA,"541620, 562910",19990206
655,"Common Sense Environmental, Inc.",Cynthia S.,Gilchrest,New Bedford,MA,"541620, 562910",19990206
656,"Common Sense Environmental, Inc.",Cynthia S.,Gilchrest,New Bedford,MA,"541620, 562910",19990206
657,"Commonwealth Office Supply, LLC",Ted,Louis-Jacques,Malden,MA,"424120, 423210",20170161
658,"Commonwealth Office Supply, LLC",Ted,Louis-Jacques,Malden,MA,"424120, 423210",20170161
659,"Communication Management, Inc.",Joseph W.,Perkins,Eastham,MA,541611,19930074
660,"Communication Management, Inc.",Joseph W.,Perkins,Eastham,MA,541611,19930074
661,"Communication Via Design, Ltd.",Victoria,Adjami,Boston,MA,541430,19950049
662,"Communication Via Design, Ltd.",Victoria,Adjami,Boston,MA,541430,19950049
663,Community Training and Assistance Center,William,Slotnik,Boston,MA,"611710, 541611, 541714",20060168
664,Compass Home Healthcare LLC,Ehimen,Edokpa,Beverly,MA,621610,20160009
667,"Complete Cleaning System, LLC",Elizabeth,Rosa,Springfield,MA,"561720, 561730, 238350",20140059
668,"Compliance Mentor Group, LLC, The",Nicole Diane,Richer,Boston,MA,611430,20120264
669,"Compliance Mentor Group, LLC, The",Nicole Diane,Richer,Boston,MA,611430,20120264
671,"Comprehensive Environmental, Inc. d/b/a: CEI",Eileen,Pannetier,Bolton,MA,"541330, 541620",19890083
672,"Comprehensive Environmental, Inc. d/b/a: CEI",Eileen,Pannetier,Bolton,MA,"541330, 541620",19890083
674,"Confiance Tech Solutions, Inc.",Sudheer,Raghunath,Braintree,MA,"541690, 541511",20170149
677,"Conover + Gould Strategic Communications, Inc. d/b/a: Conover + Gould Strategy Group",Heather C.,Conover,Westborough,MA,"541613, 541820",19940128
678,"Conover + Gould Strategic Communications, Inc. d/b/a: Conover + Gould Strategy Group",Heather C.,Conover,Westborough,MA,"541613, 541820",19940128
679,"Construction Risk Consultants, LLC",Michael J.,Rizk,W. Chatham,MA,"236220, 541330, 236210",20120114
680,"Construction Risk Consultants, LLC",Michael J.,Rizk,W. Chatham,MA,"236220, 541330, 236210",20120114
682,"Contemporaries, Inc.",Donna,Fitzgerald,Boston,MA,"561311, 561320",19980260
683,"Contemporaries, Inc.",Donna,Fitzgerald,Boston,MA,"561311, 561320",19980260
685,"Convenient Home Care Services, Inc.",Juliet,Zawedde,Waltham,MA,"621610, 623110, 624120, 624190",20070159
686,"Convenient Home Care Services, Inc.",Juliet,Zawedde,Waltham,MA,"621610, 623110, 624120, 624190",20070159
691,"Copley Tax Executive Group, Inc.",Lucio,Taranco,Roslindale,MA,"541611, 541213",20090322
694,"Copy Masters, Inc.",Francisco,Leitao,Taunton,MA,"323117, 323113",19810030
695,Corbo Construction,Marcos,Corbo,Leominster,MA,"238110, 238990",20020161
696,Corbo Construction,Marcos,Corbo,Leominster,MA,"238110, 238990",20020161
697,"Corporate Electric & Alarms, Inc.",Richard,Gauthier,Tyngsborough,MA,238210,19930300
698,"Correctional Psychiatric Services, P.C.",Jorge R.,Veliz,Braintree,MA,"621112, 621111",19940144
699,"Corrugated Packaging, Inc.",Lynn,Thornton,Fitchburg,MA,423840,20020359
702,"Cosenta, LLC",Miles,Robinson,Woburn,MA,541512,20180008
703,"Costa Consulting Engineers, Inc.",George L.,Costa,Springfield,MA,541330,20160100
704,"Costa Consulting Engineers, Inc.",George L.,Costa,Springfield,MA,541330,20160100
705,"Costa's Trucking, Inc.",Peter,Costa,Acushnet,MA,484220,20030552
706,"Costa's Trucking, Inc.",Peter,Costa,Acushnet,MA,484220,20030552
708,"Coulter Construction, LLC",Derek R.,Coulter,Billerica,MA,"236118, 238350, 561790",20080276
709,"Coulter Construction, LLC",Derek R.,Coulter,Billerica,MA,"236118, 238350, 561790",20080276
710,"Counseling & Assessment Clinic of Worcester, LLC",Jennifer J.,Hylton,Worcester,MA,621330,20080234
711,"Coy Consulting Group, LLC",Helen,Coy,Worcester,MA,541618,20170238
713,"CR Environmental, Inc.",Charlotte M.,Cogswell,East Falmouth,MA,541620,20000237
714,"CR Environmental, Inc.",Charlotte M.,Cogswell,East Falmouth,MA,541620,20000237
715,"Crawford Collaborative Consulting, Inc.",Bartholomew,Crawford,Dracut,MA,611430,20140242
716,"Crawford Collaborative Consulting, Inc.",Bartholomew,Crawford,Dracut,MA,611430,20140242
718,"Creative Futures, LLC",Lucie,Lewis,Springfield,MA,"711510, 541611",20130076
719,"Creative Futures, LLC",Lucie,Lewis,Springfield,MA,"711510, 541611",20130076
721,"Creative Touch Designs, LLC",Marianne,Cyr,Salisbury,MA,"315990, 425110, 425120, 323113, 315210, 315280",20040337
722,"Creative Touch Designs, LLC",Marianne,Cyr,Salisbury,MA,"315990, 425110, 425120, 323113, 315210, 315280",20040337
725,"Crew Two, Inc.",Johanna,Arruda,Taunton,MA,541380,19950169
726,"Crew Two, Inc.",Johanna,Arruda,Taunton,MA,541380,19950169
727,Crispus Attucks Children's Center,Suzana,Haxhiaj,Dorchester,MA,624410,19850053
728,"Cross Cultural Communication Systems, Inc.",Zarita,Araujo-Lane,Woburn,MA,541930,20000046
729,"Cross Cultural Communication Systems, Inc.",Zarita,Araujo-Lane,Woburn,MA,541930,20000046
730,"Cross Cultural Communication Systems, Inc.",Zarita,Araujo-Lane,Woburn,MA,541930,20000046
733,"Crossover Capital Partners, LLC",Navrose,Alphonse,Boston,MA,523110,20160061
734,"Cross-Spectrum Acoustics, Inc.",Herbert,Singleton,East Longmeadow,MA,"541330, 541380, 541620",20110233
735,"Cross-Spectrum Acoustics, Inc.",Herbert,Singleton,East Longmeadow,MA,"541330, 541380, 541620",20110233
736,"Cruz Management Co., Inc.",John B.,Cruz,Boston,MA,"531311, 531110",19950021
737,"CSL, Inc.",Nancy M.,Barroso,Ludlow,MA,561730,19950064
738,"CSL, Inc.",Nancy M.,Barroso,Ludlow,MA,561730,19950064
739,"CSL, Inc.",Nancy M.,Barroso,Ludlow,MA,561730,19950064
743,"Curry Waterproofing & Masonry Restoration, Inc.",Colleen,Curry,Rehoboth,MA,"238140, 238990",20170150
744,"Curry Waterproofing & Masonry Restoration, Inc.",Colleen,Curry,Rehoboth,MA,"238140, 238990",20170150
745,"Custom Floors Design, Inc.",Jennifer L.,Roberts,Stoneham,MA,"236116, 236220",20100326
746,"Custom Networks, Inc.",Moiz,Bhindarwala,Westford,MA,"541519, 425120, 541512",19900139
747,"Custom Networks, Inc.",Moiz,Bhindarwala,Westford,MA,"541519, 425120, 541512",19900139
752,Cynthia A. Blondin,Cynthia,Blondin,Douglas,MA,"236220, 237110",20100294
753,Cynthia A. Blondin,Cynthia,Blondin,Douglas,MA,"236220, 237110",20100294
754,Cynthia Shepard d/b/a: Kare's Painting,Cynthia,Shepard,Roslindale,MA,238320,20120183
755,D & P Morais Construction Incorporated,David,Morais,Ludlow,MA,"238110, 238990",20170001
756,"D & W Construction, LLC",Aaron,West,Winchester,MA,238310,20100405
757,"D Hazleton, Inc.",Dianne M.,Hazleton,Waquoit,MA,484220,20010019
758,"D Hazleton, Inc.",Dianne M.,Hazleton,Waquoit,MA,484220,20010019
760,"D2 Northeast Solutions, LLC",Kathleen,Duckworth,Boston,MA,"541690, 611430, 611519",20190039
761,"D2 Northeast Solutions, LLC",Kathleen,Duckworth,Boston,MA,"541690, 611430, 611519",20190039
762,"D2 Northeast Solutions, LLC",Kathleen,Duckworth,Boston,MA,"541690, 611430, 611519",20190039
765,Damianos Photography,Lynne,Damianos,Framingham,MA,"541922, 541921",20040206
766,Daniel G Silva d/b/a: D Silva Trucking,Daniel G.,Silva,Carver,MA,484220,19970250
768,Daphne Politis d/b/a: Community Circle,Daphne,Politis,Lexington,MA,541320,20020098
771,Daven Corp.,Ruth,Brown,Pembroke,MA,"423840, 541690, 238990",20050274
772,Daven Corp.,Ruth,Brown,Pembroke,MA,"423840, 541690, 238990",20050274
773,"Davenport Advisors, LLC",Joyna,Filippides,Boston,MA,"531210, 531390",20140133
775,"DavisKelly, LLP f/k/a: Randall S. Davis & Company, LLP",Randall S.,Davis,Wilmington,MA,541211,20130286
776,"DavisKelly, LLP f/k/a: Randall S. Davis & Company, LLP",Randall S.,Davis,Wilmington,MA,541211,20130286
777,Dawn Kennedy d/b/a: Vital Milk,Dawn,Kennedy,Leverett,MA,446199,20150152
778,"DB Healthcare, Inc.",Rakesh,Kamdar,Burlington,MA,"561311, 561320",20070172
779,"DB Healthcare, Inc.",Rakesh,Kamdar,Burlington,MA,"561311, 561320",20070172
780,"DBQuest, Inc.",Sanjay,Shah,Shrewsbury,MA,"541511, 541513, 541519",20140083
781,"DC Consulting Services, LLC",Rinkesh,Nigam,Boston,MA,541511,20160265
782,"DCB Welding and Fabrication, Inc.",Christine,Bartholomew,Lowell,MA,"332323, 238120, 238190",20100334
783,"DCB Welding and Fabrication, Inc.",Christine,Bartholomew,Lowell,MA,"332323, 238120, 238190",20100334
785,De Celis Van Lauwe Design,David,De Celis,Somerville,MA,541310,20170246
787,"Deboise Auto Body, Inc.",Francis H.,Deboise III,Worcester,MA,811121,20130146
788,"Deboise Contractors Company, Inc.",Francis H.,"Deboise, III",Worcester,MA,"238910, 484220, 488490, 562998, 237310",19990200
789,"Deboise Contractors Company, Inc.",Francis H.,"Deboise, III",Worcester,MA,"238910, 484220, 488490, 562998, 237310",19990200
790,"Deborah Myers Landscape Architecture, LLC",Deborah Ann,Myers,Boston,MA,541320,20150217
791,"Deborah Myers Landscape Architecture, LLC",Deborah Ann,Myers,Boston,MA,541320,20150217
792,"Decastro Nelson Associates, Inc.",Hildegard,Nelson,Dedham,MA,541310,19930140
793,"Decastro Nelson Associates, Inc.",Hildegard,Nelson,Dedham,MA,541310,19930140
796,"Decorative Landscapes, Inc.",Kimberly,Gravel,Taunton,MA,561730,20070327
797,"Decorative Landscapes, Inc.",Kimberly,Gravel,Taunton,MA,561730,20070327
798,Delaney Policy Group,Daniel,Delaney,Boston,MA,,20190054
799,"Delectable Desires Pastries, Inc.",Carlene,O'Garro,West Roxbury,MA,"311812, 722515",20160178
800,"Delight Medicals, Inc.",Anthony O.,Udeh,Malden,MA,446199,20140016
804,DeMelo Construction Services Corporation,Ledimar Soares,DeMelo,Whitman,MA,"238910, 236118, 238170, 238990, 238390, 238320, 238140, 238120",20130077
805,DeMelo Construction Services Corporation,Ledimar Soares,DeMelo,Whitman,MA,"238910, 236118, 238170, 238990, 238390, 238320, 238140, 238120",20130077
806,Demetria Bridges Voice Consulting,Demetria,Bridges,Boston,MA,711510,20160290
807,Demetria Bridges Voice Consulting,Demetria,Bridges,Boston,MA,711510,20160290
808,"DePaoli Mosaic Company, Inc.",Leslie,Carrio,Canton,MA,238340,20100032
809,"DePaoli Mosaic Company, Inc.",Leslie,Carrio,Canton,MA,238340,20100032
811,"Dependable Masonry Construction Company, Inc.",Edmund,Henry,North Reading,MA,"238140, 236115, 236220",19810014
812,"Dependable Masonry Construction Company, Inc.",Edmund,Henry,North Reading,MA,"238140, 236115, 236220",19810014
813,Depict Brands,Eileen,Riestra,Boston,MA,"541430, 711510, 541511, 541613",20150053
